,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0
mean,0.6590685987064465,0.6314174026708288,-6.97082423058678,0.14003389020315973,0.2254932714911726,0.03421680601844931,0.18940233877230522,0.4654729459265219,122.66563725801306
std,0.15867076957017764,0.18408312152306824,3.140892682830238,0.13535013448435368,0.2510466094636111,0.14839900111767843,0.15030073221936197,0.22854890733845232,29.74191312571074
min,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.39140912145376205,0.3195665180683136,-12.020999908447266,0.030492066778242587,0.0021798548288643363,1.0180733860110092e-11,0.06824631616473198,0.13018322736024857,79.3949966430664
20%,0.5420291781425476,0.49372335076332086,-8.553999900817871,0.04117114469408989,0.02364913932979107,1.5704708644648235e-09,0.0944391131401062,0.27292653918266296,94.93900299072264
50%,0.6896199584007263,0.65538290143013,-6.191499948501587,0.08980368077754974,0.13820157945156095,7.135698751881137e-07,0.12923216819763186,0.4733021557331085,125.00599670410156
80%,0.8116474032402039,0.8208401203155516,-4.4549999237060565,0.2794602513313293,0.4704377830028537,0.0013679125811904692,0.3062935650348664,0.7034763097763062,150.0070037841797
95%,0.9042246341705322,0.9294614195823669,-3.044700086116791,0.4450479745864868,0.8598556399345397,0.7239070773124693,0.5342784523963928,0.8863064050674438,178.08429946899415
max,0.9958276152610778,0.9999841451644896,6.2750000953674325,0.9705798625946046,0.9957964420318604,0.9999964237213136,1.0,0.9999899864196776,249.98699951171875
