,danceability,bounciness,beat_strength,mechanism,organism,dyn_range_mean,flatness,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0,1059726371.0
mean,0.6590685987064465,0.5681394830450651,0.5368468838902313,0.5862834340164607,0.35722645880991344,8.938230510355558,1.0066297832977134,0.6314174026708288,-6.97082423058678,0.14003389020315973,0.2254932714911726,0.03421680601844931,0.18940233877230522,0.4654729459265219,122.66563725801306
std,0.15867076957017764,0.1773270159203669,0.15567735497574478,0.21038512904349252,0.19196184011350098,2.5176246370629753,0.03784221646946897,0.18408312152306824,3.140892682830238,0.13535013448435368,0.2510466094636111,0.14839900111767843,0.15030073221936197,0.22854890733845232,29.74191312571074
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.39140912145376205,0.27391849756240844,0.290369376540184,0.2153846174478531,0.11055876463651657,5.356956481933594,0.9474964737892152,0.3195665180683136,-12.020999908447266,0.030492066778242587,0.0021798548288643363,1.0180733860110092e-11,0.06824631616473198,0.13018322736024857,79.3949966430664
20%,0.5420291781425476,0.4219214022159576,0.411812424659729,0.4137931168079376,0.1920259445905685,6.844210147857666,0.9831279397010804,0.49372335076332086,-8.553999900817871,0.04117114469408989,0.02364913932979107,1.5704708644648235e-09,0.0944391131401062,0.27292653918266296,94.93900299072264
50%,0.6896199584007263,0.6012030243873596,0.5577197670936584,0.6415984630584717,0.3366115093231201,9.01885223388672,1.0150579214096067,0.65538290143013,-6.191499948501587,0.08980368077754974,0.13820157945156095,7.135698751881137e-07,0.12923216819763186,0.4733021557331085,125.00599670410156
80%,0.8116474032402039,0.758694291114807,0.6988997459411621,0.7925414204597473,0.5443734765052796,11.417296409606935,1.0381288528442385,0.8208401203155516,-4.4549999237060565,0.2794602513313293,0.4704377830028537,0.0013679125811904692,0.3062935650348664,0.7034763097763062,150.0070037841797
95%,0.9042246341705322,0.8490615487098694,0.8069149255752563,0.8870431780815123,0.7647257983684533,14.184256553649902,1.0559817552566528,0.9294614195823669,-3.044700086116791,0.4450479745864868,0.8598556399345397,0.7239070773124693,0.5342784523963928,0.8863064050674438,178.08429946899415
max,0.9958276152610778,0.9850921034812928,0.999952495098114,1.0,0.9756333231925964,52.61309432983398,1.1569348573684692,0.9999841451644896,6.2750000953674325,0.9705798625946046,0.9957964420318604,0.9999964237213136,1.0,0.9999899864196776,249.98699951171875
