,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,41036442.0,41036442.0,41036442.0,41036442.0,41036442.0,41036442.0,41036442.0,41036442.0,41036442.0
mean,0.6521432237587157,0.631156738530132,-7.134338327917195,0.1422123071774078,0.23093013945896812,0.04086117051190397,0.19312023053779723,0.4631395357286275,122.41704463902147
std,0.16403181632139244,0.1902771014685672,3.6729486509074123,0.1404144129011544,0.25727349188945225,0.16633616192599465,0.15623135672788374,0.23335010027944997,30.143418527748267
min,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.4248348698019982,0.3909645676612854,-10.524999618530273,0.03198873084038496,0.00410531684756279,2.838603250024385e-11,0.07824426144361496,0.15664324909448626,80.05434989929199
20%,0.5650814533233643,0.5809201598167419,-8.034000396728517,0.045807995647192006,0.036974214017391205,5.836723548924283e-09,0.10021463185548782,0.31904439926147454,97.04639739990236
50%,0.7125228643417358,0.7282732725143433,-5.613499879837036,0.11248209327459337,0.17080706357955933,2.7572848466661526e-06,0.1426856517791748,0.5176796317100525,130.031005859375
80%,0.831379234790802,0.8529173374176026,-4.102000236511231,0.30474698543548584,0.5529393196105957,0.005464391317218542,0.3393169343471527,0.7582064151763916,154.82759704589844
95%,0.9146357864141466,0.9603509813547135,-2.7482499480247498,0.9020564615726472,0.9627636671066282,0.8912644028663632,0.7014714717864985,0.9500616312026973,179.9261962890625
max,0.9929335117340091,0.9999841451644896,4.708000183105469,0.9696307182312012,0.9957964420318604,0.9999948143959044,1.0,0.9999899864196776,248.27400207519528
