,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,362025307.0,362025307.0,362025307.0,362025307.0,362025307.0,362025307.0,362025307.0,362025307.0,362025307.0
mean,0.6641535227907649,0.6234291581410341,-7.093867641524418,0.14497729965690154,0.22932249901218324,0.03619869846654994,0.1888146514362713,0.4592015436212924,122.78881354598764
std,0.16012734836528425,0.1850608980859486,3.3628268396787466,0.13645988860344496,0.2540209719348993,0.1546664669407059,0.1492019456729986,0.2286239450501073,29.85702608627317
min,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.45936288982629775,0.3216108292341232,-11.211999893188477,0.03210644032806158,0.010318854672368616,1.8008280435431733e-11,0.07117742672562599,0.13069121837615968,78.99800109863281
20%,0.5521745681762695,0.49512749314308163,-8.386999702453613,0.04784090742468834,0.03406121805310249,2.0011266865793704e-09,0.09820064306259153,0.2679758071899414,95.00219879150391
50%,0.7042394280433655,0.6532370448112488,-6.0940001010894775,0.12530040740966797,0.15282774716615677,8.976451795206232e-07,0.130076065659523,0.4670551121234894,125.97799682617188
80%,0.8214482069015504,0.8049887299537659,-4.397799968719482,0.28537023067474365,0.4989465177059174,0.0011817379854619505,0.31511979699134834,0.6987724781036377,150.01100158691406
95%,0.9090802669525146,0.937009334564209,-2.508500075340271,0.4578330516815186,0.8825684189796448,0.7963426828384381,0.5788541764020917,0.8916443645954131,175.9281936645508
max,0.9978067278862,0.9999841451644896,6.2750000953674325,0.9705798625946046,0.9957964420318604,0.9999964237213136,1.0,0.9999899864196776,248.82699584960938
