,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,132380546.0,132380546.0,132380546.0,132380546.0,132380546.0,132380546.0,132380546.0,132380546.0,132380546.0
mean,0.6564103710613062,0.6142584697563139,-7.398196178773751,0.14791024754905696,0.2402649623058141,0.04836827895881129,0.1908699477163871,0.444988120111569,122.3944588331614
std,0.16711261925041498,0.19293376037139545,3.972019937355503,0.14100976353182607,0.26531966641272176,0.18280937206225406,0.1531155855136786,0.2290399213839494,30.18770512852771
min,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.44773066192865374,0.3822058439254761,-11.012599992752076,0.033675332367420194,0.005427362071350216,4.5525023334436204e-11,0.07430683635175228,0.15859901309013366,85.66669921875
20%,0.5855974078178406,0.5778607487678529,-8.026000022888182,0.049363382160663605,0.035779356956481934,5.6356972422122445e-09,0.10091187804937365,0.3364725410938263,101.4281982421875
50%,0.7205219268798829,0.7238003015518188,-5.699999809265138,0.13327795267105105,0.1901189237833023,6.2425829128187615e-06,0.14258028566837316,0.5336772203445433,131.83599853515622
80%,0.8382588148117066,0.8589301943778992,-3.866800022125244,0.30753349661827095,0.6159493446350098,0.013059237971901894,0.3402145206928253,0.7646849751472475,154.96499633789062
95%,0.9206117987632751,0.9659824073314667,-2.749000072479248,0.5239772886037827,0.9520023554563519,0.9171873331069946,0.7237211883068074,0.9515506654977797,180.00900268554688
max,0.9978067278862,0.9999841451644896,5.8420000076293945,0.9705798625946046,0.9957964420318604,0.9999964237213136,1.0,0.9999899864196776,248.27400207519528
