,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,431366458.0,431366458.0,431366458.0,431366458.0,431366458.0,431366458.0,431366458.0,431366458.0,431366458.0
mean,0.6533130719795361,0.6311566715804452,-7.000920438764426,0.1359402534355057,0.23014786339780388,0.03518582507793585,0.18942350584767847,0.46663571421285277,122.37794996067798
std,0.15918002058202446,0.18619071744496718,3.2120767930595666,0.13438293107841698,0.25441929274872455,0.15091222345552607,0.15124900619509796,0.22982670302242234,29.783070349888504
min,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.3996114283800125,0.3254902809858322,-11.31564974784851,0.03020964283496142,0.006205982412211595,1.9641286860827556e-11,0.07138950191438198,0.14900838956236837,80.02425193786621
20%,0.561056911945343,0.5110321044921875,-8.25599956512451,0.04073756784200669,0.0465938113629818,2.2332180105166825e-09,0.09524974226951599,0.2816414535045624,97.66500091552734
50%,0.6878849864006042,0.6661465466022491,-6.0369999408721915,0.0878581553697586,0.22112806141376493,9.58274767981493e-07,0.13109509646892548,0.4840047359466553,124.9499969482422
80%,0.8115964531898499,0.8183000683784485,-4.4233998298645,0.2824985623359684,0.5652059316635132,0.0009284307016059756,0.3134662210941315,0.7120224475860593,150.06199645996094
95%,0.9069170951843258,0.9322820067405698,-3.0609001040458694,0.4850673377513886,0.9070316851139069,0.738362118601799,0.6008370071649551,0.9097468107938766,176.10800170898438
max,0.9978067278862,0.9999841451644896,6.2750000953674325,0.9705798625946046,0.9957964420318604,0.9999964237213136,1.0,0.9999899864196776,249.98699951171875
